tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2053150885489033266',"$bill  成妖币了

记录下数据 ：24小时全网爆仓280万

@billions_ntwk 大格局的项目方

0.025➡️ 0.13 https://t.co/C0Z2JFpkLY",zh,Tweet,0,12,0,7,3783,2026-05-10 00:31:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HH5B1qAa4AAAtU6.jpg
'2053111322800501210',"这个 $PTB 项目方最无耻

我投了17wu 给我的币只有几百u 还锁仓

还不如不给我

要钱的时候恨不得喊你爹

上所了就不做人",zh,Tweet,1,8,1,7,4014,2026-05-09 21:54:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053111823403250122',@Guomin184935 没用 这个项目方庄死,zh,Reply,0,1,0,1,169,2026-05-09 21:56:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053102968216645871',@youyou5202 我也觉得还没爆发,zh,Reply,0,6,1,0,855,2026-05-09 21:21:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053094566304342214',"今天买了点 $fil ，理性的原因是就着美股的存储炒作一下，感性的原因是我是 fil 挖矿入圈的，有着特殊的情感 ；

好巧不巧，这2天老矿工们找我聊天的挺多的 ：

1、高峰期的时候,40个fil 就可以买一个 $btc ，为什么那时候我们不多换成btc呢；
2、那时候的存储机器，硬盘，gpu等，拿到现在，又可以暴富一波了，至少翻个3x以上 ；
3、随着国家监管，币价下跌，机器出海，算力暴涨，挖出来的币还要不停的卖掉去交托管费，好心疼 ；
4、我们很多人运气赚到的钱，实力又亏回去了，一个亏了4000多万，一个亏了1个小目，还有很多其他的系列的问题 ；
5、想想那时候fil的成功，是大趋势，大牛市来了，所有的东西都涨，所以，要在鱼多的地方打鱼 ；",zh,Tweet,0,23,1,19,11306,2026-05-09 20:47:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053101942252147178',@youyou5202 币圈的存储啥时候起飞 让我开心下,zh,Reply,0,2,0,0,507,2026-05-09 21:17:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053097075223781867',@ccy1871 感觉好难 庄需要动起来,zh,Reply,0,0,0,1,379,2026-05-09 20:57:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053089015491129832',"$bill  太强了  认真投研出来的好项目

现在对币安alpha的项目 炼就了火眼金睛

真的要在自己专业的领域  

价值发挥到最大

带着我的社区往前冲 

0.025 ➡️ 0.1 https://t.co/KZpxOVnjtg",zh,Tweet,2,40,1,22,10914,2026-05-09 20:25:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HH4JhmnasAAqfSb.jpg
'2053094810098253948',@0xkhrisweb3 搞抽象 你不是在社区吗,zh,Reply,0,1,0,0,212,2026-05-09 20:48:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052929485687894391',二级买了点 $Fil ，存储板块，币圈能否跟着美股炒作一下？,zh,Tweet,2,19,2,15,7118,2026-05-09 09:51:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053091758238818320',@Haoyun18888888 0.026左右,ja,Reply,0,0,0,0,72,2026-05-09 20:36:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053089851147522086',@bab04202006 卖飞永赚  下一个更好,zh,Reply,0,0,0,1,278,2026-05-09 20:28:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'',,,Tweet,,,,,,2026-05-10 02:14:21,,,,,
'',,,Tweet,,,,,,2026-05-10 02:14:21,,,,,
'2052931648849850608',@maoming0113 fil 是龙头+个人特殊的感情,zh,Reply,0,0,0,0,369,2026-05-09 10:00:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052728207569473585',"$bill 这是A几的盘子 ？啥时候小号出货？

0.025➡️ 0.09 https://t.co/EdJsuJCd9Z",zh,Tweet,1,41,0,34,23174,2026-05-08 20:31:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HHzBa1LbEAAHM-q.jpg
'2052758539383525709',@zhuren1992 啥时候上个韩所啊,zh,Reply,0,1,0,0,393,2026-05-08 22:32:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052617009008107814',A10们，$熊猫头 咋说？,zh,Tweet,0,25,0,60,13967,2026-05-08 13:10:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052686259269857430',@Jeffkuooo 以后喊单的时候 麻烦报一下身价,zh,Reply,0,2,0,2,290,2026-05-08 17:45:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052637541426405793',"这市场又被搞坏了，明着割了

大号喊单  小号出货 

最后还得被骂一句韭菜

666",zh,Tweet,2,78,2,93,17143,2026-05-08 14:31:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052632888336875851',@lin_btc 尼玛 又留下我吹风,zh,Reply,0,0,0,0,186,2026-05-08 14:13:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052617009008107814',A10们，$熊猫头 咋说？,zh,Tweet,0,25,0,60,13967,2026-05-08 13:10:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052299891712709052',"有粉丝问 @gensynai 还有没有机会？ 这个标的 4月29日  $AIGENSYN  上了币安alpha +合约 ，确实是属于高开低走，目前来说从高位跌了3x ，当前市值 mc 4000万美金

这个项目属于 ai +depin +计算/存储，融资了 6000多万美金，有 a16z 等这种顶尖的投资机构背书， 属于 $icp 的升级版 ，也是符合当下ai+存储赛道的热门项目 ，属于大项目；

上了币安以后，还没有拉过盘，也没有上韩所，按照基本面来说：优质的团队+顶尖的投资机构背书+币安合约+热门赛道+K线筑底，这个赔率还是不错的！",zh,Tweet,6,36,4,29,14450,2026-05-07 16:09:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052595012924477597',@nylnb10 @gensynai 跟这个没啥关系 核心原因就是庄不拉盘,zh,Reply,0,1,0,0,156,2026-05-08 11:42:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
