tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2053102240551080076',"都在美股、港股了

是不是只有我还在炒币？

交易很多都是不是广告

有的即使是广告

我也是《负费推广》",zh,Tweet,0,25,0,20,4828,2026-05-09 21:18:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053134257342894170',"@chaozuoye 哎

难怪项目方老喜欢找我",zh,Reply,0,1,0,1,178,2026-05-09 23:25:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052993327931211807',"本来想着你买了，我就卖给你接盘。

没想到我卖飞了 @gensynai 。

狂战士后入了我，但是平的比我高。

他一直安慰我，交易能力在，记得多交易，你亏的61w会回来的。

其实这么多年，交易还是赚钱的，但是我经常被骗，被动进入了维权赛道：

1. 13年左右，我网赚大的是btc，小的是狗狗，后来我创业其他的，78个btc在家里电脑丢了也没在意。doge我不计其数，当时不值钱我就一直留着，后来放了火币。
有一次，火币限制冲提，当时不懂以为要跑路，我就把币转到了ceo交易所，后来交易所跑了，21年马斯克喊了狗狗，我当时的doge应该价值300多万刀，没了。

我学会要看交易所公告，不随意转移代币，代币要记录放哪里。

2. defi之夏，我高位卖出，抄底了大量的eth、crv、uni、aave，想着这些跑出来defi基础设施下一个牛市有是好几倍，我发这些放在aex安银理财，后来安银跑路，当时价值30多万刀。

我学会了不要把币放在小所。

3. 币安风控严格，之前我150w刀公司的前被币安风控，而且前留在香港的中转行手续费比较高，我开了美国富国银行，我要合规，我把u转到了ftx，后来遇到了ftx暴雷。

还好我进行了自救，ftx没关内转，ftx日本站开提币，我进行的对敲与白手套。

前几天siren半小时跌了93%，我亏了61w刀。每次我的钱不是交易没了，都是因为乱七八糟的zp。

赚了钱不代表能存得住，存得住不代表保管的好。

最近我经常和我的女大粉约会，万一突然又五个大汉要我赚币怎么办呢：

币安宣布推出提现保护功能，开启提现保护后，在 账户的所有链上提现都会在预设的锁定窗口期内被阻止。激活提现保护时，默认设置为完全锁定，任何人都无法提前终止，包括用户自己。

如何设置：

1. 打开币安App，点击首页的【账户中心】图标。
2. 点击个人头像，进入【账户信息】。
3. 点击【安全】→【提现保护】。
4. 选择锁定期限（1至7天，默认2天），决定是否允许提前解锁，然后点击【确认】。

上面都是我的血泪史，每天多学一个防止zp的知识，起码我能少被骗一点。",zh,Tweet,3,35,0,26,8163,2026-05-09 14:05:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HH2yiwWakAAZ0-n.jpg
'2053129062680555554',@Ethan6xa7 @gensynai 我群里都是后入的。,zh,Reply,0,0,0,0,80,2026-05-09 23:04:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053115314075033616',@MrQin_BTC 男的不必,ja,Reply,0,0,0,1,100,2026-05-09 22:10:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053114807147168068',@Alieneth99 哎,ja,Reply,0,1,0,0,139,2026-05-09 22:08:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053108856277057852',@mars420690 我穷逼啊。,zh,Reply,0,1,0,1,104,2026-05-09 21:44:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053106709426815337',"@thecryptoskanda @jesseRainMaker a股有恶意做空

我最近应该被zach调查

而已亏钱，损害币圈声誉。",zh,Reply,0,0,0,0,308,2026-05-09 21:35:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053105939541316080',"@nine_DeFi 我是负费

负数的负",zh,Reply,0,1,0,0,294,2026-05-09 21:32:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053105863553175765',"@thecryptoskanda @jesseRainMaker 真炒美股还是假炒美股搞不懂

真懂美股还是假懂也搞不清楚

但是推荐平台注册带链接的肯定是广告

我自己很多合约也好，链上也好，都是自己交易的

当然也有是广告我觉得可以继续交易

往往这种时候，我是负费推广，负数的负。",zh,Reply,0,1,0,1,376,2026-05-09 21:32:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
