tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2053088982742004136',@AlbertCoinGlass 实至名归,zh,Reply,0,2,0,1,148,2026-05-09 20:25:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052735854934917367',"4 月底时，Strategy 暂时“熄火”，ETF “友军”出现需求。昨天的 ETF 数据又开始显示较大的流出了。

因为衍生品的多样化和复杂结构，资金费率的正负变化参考性已经不大。目前最直接的市场指标，应该就是看 Strategy 的融资和 ETF 的情况了。 https://t.co/apkYsOCnr7",zh,Tweet,2,10,0,2,3255,2026-05-08 21:02:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HHzHAzoaAAARKwm.jpg
'2053054182601675144',@MindwingsD 确实😄 只能事后看看流出量,zh,Reply,0,1,0,0,18,2026-05-09 18:07:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052990229431357464',@Boywus 说得真好👍,zh,Reply,0,0,0,0,268,2026-05-09 13:53:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052897350251913412',@AntonLaVay 太强了👍,zh,Reply,0,2,0,0,485,2026-05-09 07:44:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048369278039269815',"Strategy 的优先股 $STRC 从 4 月 15 日的除息日至今没有回到 $100 美元以上（无法继续融资买币），而 $BTC 在此期间却继续上涨，首次打破 6 个月来“融不到资就跌”的规律，BTC 和 STRC 产生“背离现象”。

为什么？在 Strategy “熄火”阶段，ETF 流入加大，延续了买入力量，也就是 Saylor 买着买着来了友军支援。美股新高，带动 ETF 资金再次乐观起来。",zh,Tweet,8,42,2,10,14697,2026-04-26 19:51:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/HG0u4fvaQAAzGhr.jpg,https://pbs.twimg.com/media/HG0u56zawAAvxmU.jpg"
'2052769844953804892',@hibtc37 哈哈，度哥这个杀毒软件强力😆,zh,Reply,0,1,0,0,49,2026-05-08 23:17:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052761320865644667',@hibtc37 度哥可以参考下 https://t.co/YGxUpy3EP6，有很多相关细节。,zh,Reply,1,0,1,1,87,2026-05-08 22:43:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://strc.live,,
'2052750829371957278',@leifuchen @cryptarbitrage 这么看总体还是个稳赢策略，且用且珍惜了🤭,zh,Reply,0,3,0,1,312,2026-05-08 22:01:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052737653528052076',@love_zxy520 哈哈是的，因为 ETF 的资金是一大主力。放量突破暂时失败，还有机会，但如果 3-4 根日线都回不去，假突破概率就大了。,zh,Reply,0,1,0,0,96,2026-05-08 21:09:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2052403214499393659',@Yuanshan0626 远山老师说透了,zh,Reply,0,1,0,0,351,2026-05-07 23:00:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052375828777033851',"李哥分享的 $BTC 目前的形态，是典型的熊市旗形，首先不排除有可能向上反转，但在下跌趋势中，熊旗之后较大概率还是延续下跌。

它的底层逻辑并不是玄学，而是阶段性触底后市场按照一定的“斜率”开始修复，“斜率”再次走弱就表明市场的“需求”开始不足。 https://t.co/7WHS3sYVTG",zh,Tweet,0,8,0,2,1948,2026-05-07 21:11:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HHt59oLaIAA-Eat.jpg
'2052383559080665194',@tanyixiang10 我去研究看看😄,ja,Reply,0,0,0,0,42,2026-05-07 21:42:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052380682178199809',@tanyixiang10 lppl 是啥🤔,zh,Reply,0,0,0,1,72,2026-05-07 21:31:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2052366935078408500',@Maxandzero @Strategy 很清晰的总结👍,zh,Reply,0,0,0,0,141,2026-05-07 20:36:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2050876212227256582',"$BABY 持仓量显著上升，和 $ORDI 同属 BTCFi 板块，从关注度来说，车更轻。约 6 天前（4 月底），基金会将 200 万 USDT 存入 Aave V3、100 万存入 V4，庄还在。

启动价 $0.015，腰斩止损，上限可成妖币。 https://t.co/MbkKIP5SSA",zh,Tweet,1,7,0,6,2431,2026-05-03 17:52:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HHYs78xasAEJqbf.jpg
'2052171125401219331',@fafafa52018 老哥你可以考虑减减仓,zh,Reply,0,0,0,1,15,2026-05-07 07:38:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2051982567218594125',@leifuchen 量化诗人，leifu 老师,zh,Reply,0,1,0,1,225,2026-05-06 19:09:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
