tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2053162469372359076',@zepump 吃啥了,ja,Reply,0,0,0,0,110,2026-05-10 01:17:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053157558240825704',@DeeZe @grok is that true?,en,Reply,0,1,0,0,211,2026-05-10 00:58:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053141680598208711',@fly2_1M @BroLeon 以前很多地推盘都是这么玩的，day 1直接拉维权群,zh,Reply,0,1,0,1,34,2026-05-09 23:54:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053109382767161624',"不评论纷争，毕竟那位老师跟我互相拉黑了

但是我坚决支持每一个人，不论是不是kol，都敢于喊单，敢于用自己的影响力（不论大小）做杠杆

你本身就是市场的一部分，市场需要你以肉身作为信息和注意力的传导中介

不要恐惧别人因为这个亏了钱

往小里说，你是给了他博弈的机会，博弈本身就有亏有赚，他只是刚巧亏了而已

哪怕控盘99%的妖币，依然可以得出正EV的策略。如果你不传导信息，他连亏的机会都没有，他不感谢而是骂你，那是他不识趣

往大里说，你是在顺应世界的发展方向，戴尔捐钱给特朗普让大统领喊单怒涨13%，国会山股神抢跑法案重铸美股荣光，哪一样不是在变现自身影响力？

现在的影响力变现，就如2000年中国还有投机倒把罪，但89年大院子弟就开始做倒爷一般。你不是什么作奸犯科，而是抢跑了一个必然成为新常态的旧时代禁忌而已

坐庄，先要对自己百分百操盘",zh,Tweet,11,76,1,35,8714,2026-05-09 21:46:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053130590023762236',@NewGoX 没有卑鄙者，历史上能留存下来的都是“适者”,zh,Reply,0,0,0,0,167,2026-05-09 23:10:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053130370560975077',@0xLaughing 你可以尝试一下巴基斯坦的biryani，我感觉最适合一做一吨，一放一周的菜,zh,Reply,0,1,0,1,245,2026-05-09 23:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2053125768868479288',@btc_789 @19ys_GGboy @Mirro7777 智障的说，我现在做的内容就好比简中币圈的曲曲大老王,zh,Reply,0,2,0,0,527,2026-05-09 22:51:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053121088247525476',@fly2_1M @BTC_Alert_ @jesseRainMaker 华尔街跟菲律宾盘口带单合作出货，你现在刷油管，说到东北口音讲台股的就是,zh,Reply,0,2,0,0,45,2026-05-09 22:33:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053118928357048715',@fly2_1M @BTC_Alert_ @jesseRainMaker 其实就是盘前，前一交易日的盘后，第二天交易日的盘前,zh,Reply,0,0,0,1,35,2026-05-09 22:24:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2053118231574114491',@CoinNPC 改变人类的真理在最开始往往都被认为异端,zh,Reply,0,1,0,0,374,2026-05-09 22:21:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
